Port_IDs,ROI,PnL,Sharpe Ratio,MDD,Win Rate,Win Positions,Total Positions,Score,Rank
4014818740371615232,1.0,0.1492710982760538,0.7269120562004032,1.0,0.5339705502454145,6.0,14.0,0.6860972408336357,1.0
3986814617275053313,0.06399096032084205,0.3400789741937344,0.967109051441733,0.996055591937805,0.9745889052500252,2780.0,3554.0,0.5445060712487061,2.0
4038768306117031680,0.5578113160404482,0.15269733849011013,0.6868274720629145,0.8055200015172271,0.7267932489451476,63.0,108.0,0.5363905489693437,3.0
3880920727367689984,0.09526321473810659,0.162667135760933,1.0,1.0,0.889950917075691,20.0,28.0,0.5082408400692344,4.0
3891020560590657281,0.13311635644288355,0.18024643759397319,0.8767379962374909,1.0,0.806861678135901,283.0,437.0,0.49103028339244664,5.0
4040382575336130560,0.04555949111610082,0.6511447681513157,0.5709769599701116,0.7648373259300895,0.6518959349229365,2366.0,4522.0,0.47056462374848856,6.0
3977234346014419201,0.2776263654287748,0.1751601254756388,0.6931852775581506,1.0,0.49537026950478213,33.0,83.0,0.46525202345965055,7.0
3818233536529843712,0.2146728377658175,0.16137156408460332,0.7405008244861286,1.0,0.5527063590259554,59.0,133.0,0.4581155431507174,8.0
3944658614777849089,0.23367061445113077,0.17097682356603627,0.6952556200952302,1.0,0.5537472372915411,20.0,45.0,0.45727123797504843,9.0
4035430878731345664,0.13265915075768264,0.17594804609990156,0.7763857254638297,1.0,0.6019668000894,43.0,89.0,0.4492585818539861,10.0
4039279455324236544,0.06096181493179808,0.15869825396829257,0.8614342240613639,1.0,0.689643921672722,181.0,327.0,0.44921434495115764,11.0
4029749871687083265,0.21520753802062717,0.189800422332204,0.6437442469220985,1.0,0.5341784827026752,367.0,856.0,0.4441790646439264,12.0
4034786679304751616,0.2024082577490983,0.17627201640138193,0.6810891968746758,1.0,0.4774129218705108,123.0,321.0,0.4387496129870612,13.0
3998659472131949824,0.03639521635962697,0.355064230616279,0.6184566160944602,0.9657295634556008,0.6764663302720899,373.0,687.0,0.435882013326399,14.0
3936410995029308417,0.19676598796626008,0.2730221030984508,0.5733758034769008,1.0,0.3737793851717902,6.0,20.0,0.42933842137704986,15.0
4017110277719148289,0.041007895641452026,0.18076374364911027,0.6884132688875525,1.0,0.7070165618990212,143.0,252.0,0.4158776145721258,16.0
3983074113875692800,0.18539025887898636,0.17513092048206835,0.6246156999344987,1.0,0.4056520459228731,14.0,43.0,0.41488815236340004,17.0
4017323550554338817,0.13458005724159977,0.18354755517227708,0.5720538654628755,1.0,0.6241086981767506,273.0,545.0,0.41308254887579937,18.0
4022565861939831809,0.026154115126003345,0.31470851772222963,0.5742949769492437,0.9617613336403116,0.6574275710822977,372.0,705.0,0.41138931651248367,19.0
3865845304835489536,0.027217490304514265,0.18104881122934272,0.7834102713258191,0.657256681322957,1.0,553.0,689.0,0.40869800636229736,20.0
